ddate,ddate,MONTH,DAY,YEAR,Week,TotalBugs,Nem_Count,Othdip_Count,Homo_Count,Coleo_Count,Hymeno_Count,Thysano_Count,Arach_Count,Ephemo_Count,Hemi_Count,Lepido_Count,Trico_Count,Odona_Count,Nem_Mass,Othdip_Mass,Homo_Mass,Coleo_Mass,Hymeno_Mass,Thysano_Mass,Arach_Mass,Ephemo_Mass,Hemi_Mass,Lepido_Mass,Trico_Mass,Odona_Mass,All,Aquatic,Terrestrial,Flying,Irruptive,qualityissue,missinguncounted,flag
01-Apr-89,32599,4,1,1989,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
02-Apr-89,32600,4,2,1989,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
03-Apr-89,32601,4,3,1989,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
04-Apr-89,32602,4,4,1989,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
05-Apr-89,32603,4,5,1989,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
06-Apr-89,32604,4,6,1989,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0.296904714,0,0,0,0,0,0,0,0,0,0,0,0.296904714,0.296904714,0,0.296904714,0.296904714,0,0,0
07-Apr-89,32605,4,7,1989,14,6,2,4,0,0,0,0,0,0,0,0,0,0,2.547610277,17.58342014,0,0,0,0,0,0,0,0,0,0,20.13103042,20.13103042,17.58342014,20.13103042,2.547610277,0,0,0
08-Apr-89,32606,4,8,1989,14,2,1,1,0,0,0,0,0,0,0,0,0,0,0.881524093,4.395855035,0,0,0,0,0,0,0,0,0,0,5.277379127,5.277379127,4.395855035,5.277379127,0.881524093,0,0,0
09-Apr-89,32607,4,9,1989,15,5,5,0,0,0,0,0,0,0,0,0,0,0,3.238381706,0,0,0,0,0,0,0,0,0,0,0,3.238381706,3.238381706,0,3.238381706,3.238381706,0,0,0
10-Apr-89,32608,4,10,1989,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
11-Apr-89,32609,4,11,1989,15,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.334035168,0,0,0,0,0,0,0,0,0,0,0,0,0
12-Apr-89,32610,4,12,1989,15,3,1,2,0,0,0,0,0,0,0,0,0,0,0.296904714,0.383193185,0,0,0,0,0,0,0,0,0,0,0.6800979,0.6800979,0.383193185,0.6800979,0.296904714,0,0,0
13-Apr-89,32611,4,13,1989,15,3,2,1,0,0,0,0,0,0,0,0,0,0,0.593809428,0.917731359,0,0,0,0,0,0,0,0,0,0,1.511540787,1.511540787,0.917731359,1.511540787,0.593809428,0,0,0
14-Apr-89,32612,4,14,1989,15,9,5,2,0,0,0,0,2,0,0,0,0,0,2.069142949,5.313586393,0,0,0,0,0.668070336,0,0,0,0,0,7.382729342,7.382729342,5.313586393,7.382729342,2.069142949,0,0,0
15-Apr-89,32613,4,15,1989,15,14,10,1,0,3,0,0,0,0,0,0,0,0,2.969047141,0.917731359,0,0.753200734,0,0,0,0,0,0,0,0,4.639979234,3.8867785,1.670932093,3.8867785,2.969047141,0,0,0
16-Apr-89,32614,4,16,1989,16,42,18,3,0,20,0,0,1,0,0,0,0,0,6.513523611,0.574789778,0,5.021338227,0,0,0.334035168,0,0,0,0,0,12.10965162,7.08831339,5.596128005,7.08831339,6.513523611,0,0,0
17-Apr-89,32615,4,17,1989,16,63,9,4,0,48,2,0,0,0,0,0,0,0,3.841381184,1.492521137,0,14.70080762,10.81558028,0,0,0,0,0,0,0,30.85029022,5.333902321,27.00890903,16.1494826,3.841381184,0,0,0
18-Apr-89,32616,4,18,1989,16,5,5,0,0,0,0,0,0,0,0,0,0,0,1.484523571,0,0,0,0,0,0,0,0,0,0,0,1.484523571,1.484523571,0,1.484523571,1.484523571,0,0,0
19-Apr-89,32617,4,19,1989,16,16,14,1,0,0,0,0,1,0,0,0,0,0,6.895028938,0.191596593,0,0,0,0,0.334035168,0,0,0,0,0,7.086625531,7.086625531,0.191596593,7.086625531,6.895028938,0,0,0
20-Apr-89,32618,4,20,1989,16,76,55,2,0,3,3,6,7,0,0,0,0,0,25.69887809,2.4860636,0,2.077998672,8.170935231,3.101646794,2.338246174,0,0,0,0,0,41.53552239,28.18494169,15.8366443,36.35587693,25.69887809,0,0,0
21-Apr-89,32619,4,21,1989,16,7,7,0,0,0,0,0,0,0,0,0,0,0,3.247571756,0,0,0,0,0,0,0,0,0,0,0,3.247571756,3.247571756,0,3.247571756,3.247571756,0,0,0
